Linux    OSW v2.1.1
zzz ***Wed Oct 19 08:00:43 UTC 2016
F S UID        PID  PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
1 S root        16     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [events/1]
1 S root        17     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [events/2]
1 S root        18     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [events/3]
1 S root        19     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [cpuset]
1 S root        20     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [khelper]
1 S root        21     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [netns]
1 S root        22     2  0  80   0 -     0 async_ 07:48 ?        00:00:00 [async/mgr]
1 S root        23     2  0  80   0 -     0 xenwat 07:48 ?        00:00:00 [xenwatch]
1 S root        24     2  0  80   0 -     0 xb_wai 07:48 ?        00:00:00 [xenbus]
1 S root        25     2  0  80   0 -     0 bdi_sy 07:48 ?        00:00:00 [sync_supers]
1 S root        26     2  0  80   0 -     0 bdi_fo 07:48 ?        00:00:00 [bdi-default]
1 S root        27     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [kintegrityd/0]
1 S root        28     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [kintegrityd/1]
1 S root        29     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [kintegrityd/2]
1 S root        30     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [kintegrityd/3]
1 S root        31     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [kblockd/0]
1 S root        32     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [kblockd/1]
1 S root        33     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [kblockd/2]
1 S root        34     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [kblockd/3]
1 S root        35     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [ata/0]
1 S root        36     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [ata/1]
1 S root        37     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [ata/2]
1 S root        38     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [ata/3]
1 S root        39     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [ata_aux]
1 S root        40     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [ksuspend_usbd]
1 S root        41     2  0  80   0 -     0 hub_th 07:48 ?        00:00:00 [khubd]
1 S root        42     2  0  80   0 -     0 serio_ 07:48 ?        00:00:00 [kseriod]
1 S root        47     2  0  80   0 -     0 watchd 07:48 ?        00:00:00 [khungtaskd]
1 S root        48     2  0  80   0 -     0 kswapd 07:48 ?        00:00:00 [kswapd0]
1 S root        49     2  0  85   5 -     0 ksm_sc 07:48 ?        00:00:00 [ksmd]
1 S root        50     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [aio/0]
1 S root        51     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [aio/1]
1 S root        52     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [aio/2]
1 S root        53     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [aio/3]
1 S root        54     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [crypto/0]
1 S root        55     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [crypto/1]
1 S root        56     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [crypto/2]
1 S root        57     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [crypto/3]
1 S root        63     2  0  80   0 -     0 khvcd  07:48 ?        00:00:00 [khvcd]
1 S root        64     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [kpsmoused]
1 S root        65     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [kstriped]
1 S root        66     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [ksnapd]
1 S root        67     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [usbhid_resumer]
1 S root       130     2  0  80   0 -     0 bdi_wr 07:49 ?        00:00:00 [flush-202:0]
1 S root       131     2  0  80   0 -     0 kjourn 07:49 ?        00:00:00 [kjournald]
5 S root       176     1  0  76  -4 -  4748 poll_s 07:49 ?        00:00:00 /sbin/udevd -d
1 S root      1098     2  0  80   0 -     0 bdi_wr 07:50 ?        00:00:00 [flush-202:48]
1 S root      1113     2  0  80   0 -     0 kjourn 07:53 ?        00:00:00 [kjournald]
1 S root      1114     2  0  80   0 -     0 kjourn 07:53 ?        00:00:00 [kjournald]
1 S root      1115     2  0  80   0 -     0 kjourn 07:53 ?        00:00:00 [kjournald]
1 S root      1116     2  0  80   0 -     0 kjourn 07:53 ?        00:00:00 [kjournald]
1 S root      1117     2  0  80   0 -     0 kjourn 07:53 ?        00:00:00 [kjournald]
1 D root      1118     2  0  80   0 -     0 sync_b 07:53 ?        00:00:00 [kjournald]
1 S root      1119     2  0  80   0 -     0 kjourn 07:53 ?        00:00:00 [kjournald]
5 S root      1586     1  0  76  -4 -  6322 epoll_ 07:54 ?        00:00:00 auditd
4 S root      1588  1586  0  72  -8 -  3556 futex_ 07:54 ?        00:00:00 /sbin/audispd
1 S root      1589     2  0  80   0 -     0 kaudit 07:54 ?        00:00:00 [kauditd]
5 S root      1609     1  0  80   0 -  2530 poll_s 07:54 ?        00:00:00 syslogd -m 0
5 S root      1612     1  0  80   0 -   954 syslog 07:54 ?        00:00:00 klogd -x
1 S root      1639     1  0  80   0 -  2693 hrtime 07:54 ?        00:00:00 irqbalance
5 S rpc       1649     1  0  80   0 -  2530 poll_s 07:54 ?        00:00:00 portmap
1 S root      1677     2  0  80   0 -     0 worker 07:54 ?        00:00:00 [rpciod/0]
1 S root      1678     2  0  80   0 -     0 worker 07:54 ?        00:00:00 [rpciod/1]
5 S root      1679     2  0  80   0 -     0 worker 07:54 ?        00:00:00 [rpciod/2]
1 S root      1680     2  0  80   0 -     0 worker 07:54 ?        00:00:00 [rpciod/3]
5 S rpcuser   1685     1  0  80   0 -  2542 poll_s 07:54 ?        00:00:00 rpc.statd
1 S root      1707     1  0  80   0 -  6736 epoll_ 07:54 ?        00:00:00 rpc.idmapd
5 S dbus      1732     1  0  80   0 -  6891 poll_s 07:54 ?        00:00:00 dbus-daemon --system
5 S root      1742     1  0  80   0 - 15688 poll_s 07:54 ?        00:00:00 /usr/sbin/sshd
1 S root      1766     2  0  75  -5 -     0 slow_w 07:54 ?        00:00:00 [kslowd000]
1 S root      1767     2  0  75  -5 -     0 slow_w 07:54 ?        00:00:00 [kslowd001]
1 S root      1769     2  0  80   0 -     0 worker 07:54 ?        00:00:00 [nfsiod]
1 S root      1772     2  0  80   0 -     0 svc_re 07:54 ?        00:00:00 [lockd]
5 S 68        1805     1  0  80   0 -  8778 poll_s 07:54 ?        00:00:00 hald
